Country;Company Code;MaintPlant;Main WorkCtr;Functional Loc.;Description;Equipment;Description;Order Type;Order;Description;MaintActivType;Priority;Priority;Group;Group Counter;Created on;System status;User status;Oper.WorkCenter;Control key;Oper./Act.;Opr. short text;Work;Number;Normal duration;Norm.duratn un.;Actual work;Unit for work;Bas. start date;Basic fin. date;Sched. start;Sched. finish;Earl.start date;EarliestEndDate;Latest start;Lat.finish date;Actual start;Act.finish date;Op.SystemStatus;Oper.UserStatus
DE;465C;BS01;DE_OFFDT;DB0388-040;WT DT40 DanTysk (3601221);012345678912;WT Dan Tysk ,DT40 (3601221);ZCS1;12345699;3,00_WT-BS01 3601221 Yearly Lift Inspect;020;;;LIFT;1;04-09-2016;REL  NMAT SETC;ZBNQ PERF RFCO;DE_OFFDT;ZSMC;0010;Lift inspection;3,0;1;3,0;H;0,000;H;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-040;WT DT40 DanTysk (3601221);012345678913;WT Dan Tysk ,DT40 (3601221);ZCS1;12345700;3,00_WT-BS01 3601221 Yearly Lift Inspect;020;;;;;04-09-2016;REL  NMAT SETC;ZBNQ PERF RFCO;DE_OFFDT;ZMR1;0020;3,00_WT-BS01 3601221 Yearly Lift Inspect;3,0;1;3,0;H;0,000;H;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-040;WT DT40 DanTysk (3601221);012345678914;WT Dan Tysk ,DT40 (3601221);ZCS1;12345701;3,00_WT-BS01 3601221 Yearly Crane Inspec;020;;;CRANE;1;04-09-2016;REL  NMAT SETC;ZBNQ PERF RFCO;DE_OFFDT;ZSMC;0010;Crane inspection;3,0;1;3,0;H;0,000;H;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-040;WT DT40 DanTysk (3601221);012345678911;WT Dan Tysk ,DT40 (3601221);ZCS1;12345702;3,00_WT-BS01 3601221 Yearly Crane Inspec;020;;;;;04-09-2016;REL  NMAT SETC;ZBNQ PERF RFCO;DE_OFFDT;ZMR1;0020;3,00_WT-BS01 3601221 Yearly Crane Inspec;3,0;1;3,0;H;0,000;H;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;18-08-2017;31-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-007;WT DT07 DanTysk (3601188);012345678912;WT Dan Tysk ,DT07 (3601188);ZCS5;12345703;A9B10170721 Retrofit Power Supply G4;040;;;;;10-11-2017;REL  CCOK GMPS MACM PRC  RESA SETC;ZBNQ PERF RECV RFCO ZBCC;DE_OFFDT;ZMR1;0010;A9B10170721 Retrofit Power Supply G4;0,0;0;0,0;H;0,000;H;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-007;WT DT07 DanTysk (3601188);012345678913;WT Dan Tysk ,DT07 (3601188);ZCS5;12345704;A9B10196140  Retrofit, sign f dehumidifi;040;;;;;10-11-2017;REL  CCOK GMPS NMAT PRC  RESA SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZMR1;0010;A9B10196140  Retrofit, sign f dehumidifi;0,0;0;0,0;H;0,000;H;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;31-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-059;WT SB61 Sandbank (4000390);012345678914;WT Sandbank ,SB61 (4000390);ZCS5;12345705;0 : Damaged fiber optic cable;040;2;Normal;;;24-07-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO ZBCC ZBMC;DE_SANDB;ZMR1;0010;0 : Damaged fiber optic cable;4,0;2;2,0;H;0,000;H;24-07-2017;01-09-2017;24-07-2017;01-09-2017;24-07-2017;01-09-2017;24-07-2017;01-09-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-027;WT SB27 Sandbank (4000358);012345678911;WT Sandbank ,SB27 (4000358);ZCS5;12345706;0 : Hiab Crane Slow;040;3;Low;;;28-07-2017;REL  CCOK NMAT PRC  SETC;ZBNQ CLAR PERF RFCO ZBCC ZBMC;DE_SANDB;ZMR1;0010;0 : Hiab Crane Slow;2,0;2;1,0;H;0,000;H;27-07-2017;01-09-2017;27-07-2017;01-09-2017;27-07-2017;01-09-2017;27-07-2017;01-09-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-029;WT SB29 Sandbank (4000360);012345678912;WT Sandbank ,SB29 (4000360);ZCS3;12345707;Switching support Vattenfall;030;;;;;01-09-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO;DE_SANDB;ZMR1;0010;Switching support Vattenfall;2,0;1;2,0;H;0,000;H;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-061;WT SB63 Sandbank (4000392);012345678913;WT Sandbank ,SB63 (4000392);ZCS5;12345708;Inspection on Water Ingress;040;2;Normal;;;01-09-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO ZBMC;DE_SANDB;ZMR1;0010;Inspection on Water Ingress;1,0;2;0,5;H;0,000;H;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;;;REL;
